Nº,Nombre,Total.Por mil ‰
804,EDUARDA,1.792,0.083
805,MARIA ENGRACIA,1.792,0.083
806,BLANCA ESTHER,1.791,0.083
807,ANA DOLORES,1.790,0.083
808,ENERITZ,1.785,0.083
809,DANA,1.784,0.083
810,CORAIMA,1.783,0.083
811,MONICA MARIA,1.781,0.083
812,ARGENTINA,1.778,0.083
813,ROMINA,1.776,0.083
814,IKRAM,1.774,0.083
815,AINTZANE,1.773,0.083
816,CARINA,1.762,0.082
817,NARCISA,1.751,0.082
818,MARIA CORO,1.750,0.081
819,IDOYA,1.749,0.081
820,YOLANDA MARIA,1.746,0.081
821,HIBA,1.740,0.081
822,ROSAURA,1.740,0.081
823,ZULEMA,1.739,0.081
824,ARES,1.737,0.081
825,RESURRECCION,1.737,0.081
826,MARIA ICIAR,1.736,0.081
827,EMERITA,1.731,0.081
828,MARIA MACARENA,1.720,0.080
829,NOAH,1.718,0.080
830,MARIA EMMA,1.714,0.080
831,KIARA,1.704,0.079
832,RACHIDA,1.698,0.079
833,DORINDA,1.697,0.079
834,ATENEA,1.689,0.079
835,DAMIANA,1.687,0.079
836,BEATRIZ MARIA,1.684,0.078
837,JOSUNE,1.684,0.078
838,ANA JOSEFA,1.679,0.078
839,FATIMA ZAHRA,1.676,0.078
840,TEOFILA,1.674,0.078
841,CONSTANZA,1.671,0.078
842,MARGARITA MARIA,1.669,0.078
843,MIREN EDURNE,1.667,0.078
844,MARIA MILAGRO,1.666,0.078
845,MARIA JOSEFINA,1.665,0.078
846,SEGUNDA,1.662,0.077
847,ELIANA,1.661,0.077
848,INDARA,1.661,0.077
849,MARIA ROSER,1.656,0.077
850,NEREIDA,1.656,0.077
851,BENIGNA,1.655,0.077
852,YOANA,1.654,0.077
853,ALMA MARIA,1.643,0.076
854,ELENE,1.643,0.076
855,MARIA MARTA,1.643,0.076
856,SANTIAGA,1.643,0.076
857,ANGELINES,1.641,0.076
858,MARIA AMALIA,1.640,0.076
859,MARIA RAMONA,1.639,0.076
860,ROSALINA,1.638,0.076
861,MARYAM,1.636,0.076
862,LUZDIVINA,1.634,0.076
863,SHEYLA,1.629,0.076
864,MARIA JULIANA,1.628,0.076
865,NOELIA MARIA,1.627,0.076
866,CINTA,1.626,0.076
867,IVANA,1.625,0.076
868,EDUVIGIS,1.624,0.076
869,ISAURA,1.617,0.075
870,IRMA,1.616,0.075
871,ESTEL,1.614,0.075
872,RANIA,1.611,0.075
873,MELANI,1.609,0.075
874,DEBORAH,1.600,0.074
875,ARRATE,1.599,0.074
876,DIGNA,1.587,0.074
877.GARBIÑE,1.583,0,074
878,MARIA ANUNCIACION,1.582,0.074
879,MISERICORDIA,1.582,0.074
880,MARIA MILAGROSA,1.581,0.074
881,ALEJANDRA MARIA,1.577,0.073
882,AGNES,1.574,0.073
883,SAMANTA,1.574,0.073
884,AINOHA,1.566,0.073
885,MARIA ARANTZAZU,1.566,0.073
886,ARYA,1.564,0.073
887,ROSA ELENA,1.564,0.073
888,ERNESTINA,1.558,0.073
889,LIDIA ESTHER,1.558,0.073
890,LOURDES MARIA,1.551,0.072
891,FARAH,1.543,0.072
892,CLAUDIA MARIA,1.535,0.071
893,PLACIDA,1.530,0.071
894,ANDREA MARIA,1.528,0.071
895,GINESA,1.522,0.071
896,AINHARA,1.520,0.071
897,MARTA ISABEL,1.519,0.071
898,MARIA FELICIDAD,1.517,0.071
899,GALLA,1.514,0.070
900,PETRONILA,1.508,0.070
901,MARIA CORAL,1.506,0.070
902,AURORA MARIA,1.499,0.070
903,ANTONELLA,1.498,0.070
904,SEILA,1.497,0.070
905,FATIHA,1.495,0.070
906,MARIA SILVIA,1.495,0.070
907,ALEGRIA,1.493,0.070
908,MARIA LIDIA,1.493,0.070
909,LORENA MARIA,1.491,0.069
910,DIVINA,1.489,0.069
911,GUMERSINDA,1.486,0.069
912,BLANCA ROSA,1.484,0.069
913,LENA,1.484,0.069
914,ROSA DELIA,1.484,0.069
915,MARIA PATRICIA,1.478,0.069
916,BELLA,1.476,0.069
917,CARLA MARIA,1.476,0.069
918,ANA JESUS,1.472,0.069
919,NORMA,1.465,0.068
920,FELICIA,1.464,0.068
921,MARLENE,1.459,0.068
922,PAULA ANDREA,1.458,0.068
923,VALLE,1.458,0.068
924,MARIA PETRA,1.457,0.068
925,CARMEN ROCIO,1.456,0.068
926,ARIA,1.453,0.068
927,JULITA,1.446,0.067
928,DANAE,1.444,0.067
929,ARIADNE,1.437,0.067
930,CARMEN GLORIA,1.437,0.067
931,EMILY,1.437,0.067
932,MARIA GORETTI,1.437,0.067
933,FE,1.434,0.067
934,FLOR MARIA,1.434,0.067
935,EUFEMIA,1.432,0.067
936,ELAIA,1.427,0.066
937,SARA ISABEL,1.423,0.066
938,MARIA SOFIA,1.420,0.066
939,MARIA CRISTO,1.418,0.066
940,IRAIDE,1.417,0.066
941,MARTHA,1.414,0.066
942,VALERIANA,1.413,0.066
943,JANET,1.408,0.066
944,ANIA,1.403,0.065
945,GRACIA MARIA,1.402,0.065
946,ENMA,1.401,0.065
947,PURA,1.398,0.065
948,SUSANNA,1.398,0.065
949,SILVANA,1.395,0.065
950,BOUCHRA,1.394,0.065
951,LATIFA,1.393,0.065
952,CASIMIRA,1.391,0.065
953,ENEDINA,1.389,0.065
954,RUTH MARIA,1.384,0.064
955,PILAR MARIA,1.382,0.064
956,CUSTODIA,1.371,0.064
957,GLADYS,1.371,0.064
958,ISABELA,1.369,0.064
959,HILARIA,1.368,0.064
960,ROGELIA,1.368,0.064
961,MARIA ENRIQUETA,1.366,0.064
962,PENELOPE,1.362,0.063
963,MARIA NAZARET,1.355,0.063
964,TANIA MARIA,1.354,0.063
965,ZAHIRA,1.353,0.063
966,GENEROSA,1.352,0.063
967,MAREN,1.350,0.063
968,OLVIDO,1.349,0.063
969,LIBE,1.348,0.063
970,GUACIMARA,1.345,0.063
971,IVETTE,1.340,0.062
972,ALINA,1.339,0.062
973,MARIA AMAYA,1.339,0.062
974,ALBINA,1.338,0.062
975,BLASA,1.337,0.062
976,JADE,1.334,0.062
977,MARIA SARA,1.332,0.062
978,DOMITILA,1.331,0.062
979,MARIA LETICIA,1.331,0.062
980,EULOGIA,1.330,0.062
981,MARIA TRANSITO,1.329,0.062
982,IMANE,1.321,0.061
983,MARIA ANDREA,1.319,0.061
984,YASMINE,1.317,0.061
985,RAIMUNDA,1.314,0.061
986,MARIA DELIA,1.311,0.061
987,MARIA PUERTO,1.311,0.061
988,NATALIA MARIA,1.311,0.061
989,MARIA ELOISA,1.310,0.061
990,XIOMARA,1.308,0.061
991,CANDELAS,1.307,0.061
992,ANA PATRICIA,1.303,0.061
993,TELMA,1.303,0.061
994,MIREN JOSUNE,1.301,0.061
995,CIPRIANA,1.298,0.060
996,MARTHA CECILIA,1.291,0.060
997,ANA ROCIO,1.288,0.060
998,CLAUDIA PATRICIA,1.288,0.060
999,ROXANA,1.288,0.060
1000,MARIA FLORA,1.287,0.060
1001,ASHLEY,1.284,0.060
1002,ANA PAULA,1.281,0.060
1003,CRESCENCIA,1.278,0.059
1004,HANAN,1.278,0.059
1005,YUMARA,1.278,0.059
1006,ERUNDINA,1.277,0.059
1007,LUCINDA,1.275,0.059
1008,IRANTZU,1.273,0.059
1009,NOOR,1.272,0.059
1010,AGATA,1.264,0.059
1011,LEIA,1.264,0.059
1012,CLAUDINA,1.263,0.059
1013,ANA MERCEDES,1.257,0.059
1014,LLUNA,1.257,0.059
1015,ELSA MARIA,1.255,0.058
1016,JOSEPA,1.250,0.058
1017,JORDINA,1.247,0.058
1018,MARIA VEGA,1.246,0.058
1019,MARIA CABEZA,1.241,0.058
1020,JOVITA,1.239,0.058
1021,MARIA HORTENSIA,1.235,0.057
1022,DORA,1.230,0.057
1023,LEOCADIA,1.228,0.057
1024,MARTA ELENA,1.226,0.057
1025,MIREN NEKANE,1.226,0.057
1026.MARIA MONTAÑA,1.224,0,057
1027,GADEA,1.222,0.057
1028,HANANE,1.219,0.057
1029,SEVERINA,1.219,0.057
1030,ANA ESTHER,1.217,0.057
1031,DIANA CAROLINA,1.216,0.057
1032,JOANA MARIA,1.216,0.057
1033,ANITA,1.213,0.056
1034,CONSTANTINA,1.213,0.056
1035,FATIMA ZOHRA,1.213,0.056
1036,CLEMENCIA,1.209,0.056
1037,MINA,1.209,0.056
1038,GRISELDA,1.208,0.056
1039,ITSASO,1.208,0.056
1040,SANDRA MILENA,1.208,0.056
1041,BENILDE,1.205,0.056
1042,ANA DELIA,1.204,0.056
1043,EVELIA,1.202,0.056
1044,VIVIANA,1.202,0.056
1045,ANGELICA MARIA,1.201,0.056
1046,LIBRADA,1.201,0.056
1047,MARIA PATROCINIO,1.201,0.056
1048,UDANE,1.199,0.056
1049,PAOLA ANDREA,1.198,0.056
1050,YOUSRA,1.198,0.056
1051,ADOLFINA,1.197,0.056
1052,ELNA,1.194,0.056
1053,CELINA,1.193,0.056
1054,AMADORA,1.192,0.055
1055,DUNA,1.186,0.055
1056,MARIA PUY,1.186,0.055
1057,SANTA,1.177,0.055
1058,ADELA MARIA,1.176,0.055
1059,CESAREA,1.176,0.055
1060,MARIA VIOLETA,1.176,0.055
1061,SHAILA,1.173,0.055
1062,CARMEN TERESA,1.171,0.055
1063,AMERICA,1.169,0.054
1064,ETELVINA,1.157,0.054
1065,AQUILINA,1.154,0.054
1066,MARIA PRESENTACION,1.153,0.054
1067,BASMA,1.152,0.054
1068,MARIA JESUSA,1.151,0.054
1069,MARIA OLVIDO,1.151,0.054
1070,MARIA IZASKUN,1.150,0.054
1071,EDITH,1.146,0.053
1072,NAYELI,1.146,0.053
1073,FLAVIA,1.145,0.053
1074,MILENA,1.143,0.053
1075,CORA,1.142,0.053
1076,ANA LAURA,1.141,0.053
1077,CARMINA,1.139,0.053
1078,MARIA MONICA,1.139,0.053
1079,AINHIZE,1.138,0.053
1080,YADIRA,1.137,0.053
1081,SIHAM,1.136,0.053
1082,AVRIL,1.133,0.053
1083,CARMEN NIEVES,1.133,0.053
1084,MARIA DESIREE,1.130,0.053
1085,AYLA,1.127,0.052
1086,DOMINICA,1.124,0.052
1087,PINO,1.124,0.052
1088,NAZARETH,1.123,0.052
1089,LAYLA,1.120,0.052
1090,HILDA,1.119,0.052
1091,AGRIPINA,1.117,0.052
1092,JOANNA,1.114,0.052
1093,MARIA CASTILLO,1.114,0.052
1094,ANA VANESSA,1.112,0.052
1095,JOHANNA,1.111,0.052
1096,MELODY,1.109,0.052
1097,JUANA ANTONIA,1.106,0.051
1098,ALESSANDRA,1.105,0.051
1099,MARIA ELSA,1.105,0.051
1100,CASANDRA,1.103,0.051
1101,DEMETRIA,1.103,0.051
1102,SOUAD,1.103,0.051
1103,ANGELES MARIA,1.100,0.051
1104,JUNCAL,1.098,0.051
1105,KATHERINE,1.097,0.051
1106,MARIA ESTIBALIZ,1.095,0.051
1107,ELIZABET,1.094,0.051
1108,MELANY,1.092,0.051
1109,MARIA IGNACIA,1.091,0.051
1110,MARIA ADELAIDA,1.090,0.051
1111,ESTRELLA MARIA,1.086,0.051
1112,MAYTE,1.086,0.051
1113,ALEJANDRINA,1.083,0.050
1114,ROSA CARMEN,1.082,0.050
1115,SANDRA PATRICIA,1.082,0.050
1116,VANESA MARIA,1.082,0.050
1117,SOPHIA,1.081,0.050
1118,ZOHRA,1.081,0.050
1119,NAJAT,1.080,0.050
1120,NARA,1.078,0.050
1121,MANAL,1.075,0.050
1122,MARIA ESTEFANIA,1.073,0.050
1123,ANTONINA,1.072,0.050
1124,RIM,1.070,0.050
1125,ISABEL CRISTINA,1.069,0.050
1126,CEFERINA,1.067,0.050
1127,FATIMA MARIA,1.067,0.050
1128,MARIA CAMILA,1.067,0.050
1129,CLARA EUGENIA,1.066,0.050
1130,NIEVES MARIA,1.065,0.050
1131,MARIA FLORENCIA,1.064,0.050
1132,LINA MARIA,1.062,0.049
1133,DULCENOMBRE,1.061,0.049
1134,HAFIDA,1.061,0.049
1135,DEVA,1.057,0.049
1136,INAS,1.057,0.049
1137,JARE,1.057,0.049
1138,ADRIANA MARIA,1.055,0.049
1139,JUANA ROSA,1.051,0.049
1140,DARIA,1.050,0.049
1141,AYLEN,1.046,0.049
1142,IZAR,1.046,0.049
1143,MARIA FLORENTINA,1.045,0.049
1144,MARIA FUENCISLA,1.045,0.049
1145,MIREN KARMELE,1.044,0.049
1146,NAHIKARI,1.042,0.049
1147,MARIA JUNCAL,1.040,0.048
1148,MARIA NATALIA,1.040,0.048
1149,LAURA ISABEL,1.039,0.048
1150,AROHA,1.038,0.048
1151,CRUZ,1.034,0.048
1152,MARIA HERMINIA,1.033,0.048
1153,AGURTZANE,1.032,0.048
1154,LLUISA,1.032,0.048
1155,ASIA,1.030,0.048
1156,JANIRA,1.030,0.048
1157,CRISTINA ISABEL,1.028,0.048
1158,HAYAT,1.027,0.048
1159,MAGALI,1.026,0.048
1160,ANA CAROLINA,1.024,0.048
1161,VIRGINIA MARIA,1.024,0.048
1162,LEANDRA,1.022,0.048
1163,MARIA ASSUMPCIO,1.021,0.048
1164,AIALA,1.019,0.047
1165,GIULIA,1.015,0.047
1166,ARABIA,1.014,0.047
1167.MARIA SEÑOR,1.014,0,047
1168,NORAH,1.013,0.047
1169,CATALEYA,1.012,0.047
1170,ALANA,1.010,0.047
1171,HERMELINDA,1.009,0.047
1172,NURIA ESTHER,1.009,0.047
1173,IXONE,1.001,0.047
1174,MARIA HELENA,1.001,0.047
1175,GUIOMAR,999,0.047
1176,ELEUTERIA,998,0.046
1177,AMOR,997,0.046
1178,CINTHIA,996,0.046
1179,HAFSA,994,0.046
1180,FUENCISLA,992,0.046
1181,YESENIA,992,0.046
1182,VINYET,989,0.046
1183,MARIANELA,988,0.046
1184,TALIA,987,0.046
1185,JAMILA,986,0.046
1186,CAMINO,983,0.046
1187,LARA MARIA,983,0.046
1188,ANAHI,982,0.046
1189,ANA SOFIA,980,0.046
1190,MARITZA,980,0.046
1191,REMEI,979,0.046
1192,MARIA AGUILA,978,0.046
1193,AIXA,977,0.045
1194,ZAHRA,975,0.045
1195,JOHANA,973,0.045
1196,SIMONA,973,0.045
1197,FELICITA,971,0.045
1198,FABIANA,968,0.045
1199,MARIA ARGENTINA,968,0.045
1200,SOPHIE,968,0.045
1201,RICARDA,967,0.045
1202,ISONA,966,0.045
1203,HALIMA,965,0.045
1204,NAILA,958,0.045
1205,NAYLA,957,0.045
1206,MARIA BERTA,956,0.045
1207,LAUREANA,955,0.044
1208,CARMEN ISABEL,954,0.044
1209,CATHAYSA,953,0.044
1210,AUXILIADORA,951,0.044
1211,ERMITAS,951,0.044
1212,ALBERTA,950,0.044
1213,SYLVIA,950,0.044
1214,LUCIA CARMEN,946,0.044
1215,HELIODORA,944,0.044
1216,MONTSE,944,0.044
1217,AIORA,941,0.044
1218,JESSICA MARIA,939,0.044
1219,MERIEM,938,0.044
1220,DULCE NOMBRE,936,0.044
1221,VICTORIA MARIA,934,0.043
1222,MARCIANA,932,0.043
1223,MARIA NELIDA,931,0.043
1224,MIREN ITZIAR,929,0.043
1225,JANNAT,927,0.043
1226,MARIA ADELINA,927,0.043
1227,REGLA,926,0.043
1228,KAWTAR,921,0.043
1229,ANA JOSE,919,0.043
1230,VICENTA MARIA,918,0.043
1231,NELLY,917,0.043
1232,GIOVANNA,916,0.043
1233,JULENE,916,0.043
1234,EVELIN,914,0.043
1235,ESTELA MARIA,913,0.043
1236,ROCIO CARMEN,913,0.043
1237,KIRA,912,0.042
1238,GLORIA ESTHER,910,0.042
1239,MAIRA,909,0.042
1240,JACOBA,908,0.042
1241,KENIA,907,0.042
1242,WIAM,907,0.042
1243,MARIA ALEXANDRA,905,0.042
1244,DOLORES CARMEN,903,0.042
1245,LOIDA,903,0.042
1246,ANA GLORIA,902,0.042
1247,VERONICA MARIA,901,0.042
1248,DENISE,900,0.042
1249,MARIA REGINA,899,0.042
1250,LAIDA,896,0.042
1251,BELEN MARIA,895,0.042
1252,LILIAN,895,0.042
1253,LOUBNA,895,0.042
1254,NADINE,895,0.042
1255,KEYLA,894,0.042
1256,HOUDA,892,0.042
1257,MABEL,891,0.041
1258,CARMEN BELEN,890,0.041
1259,CHAIMAE,890,0.041
1260,CHIARA,890,0.041
1261,ANE MIREN,889,0.041
1262,NABILA,886,0.041
1263,SAMIA,886,0.041
1264,MARIA NOEMI,884,0.041
1265,CELEDONIA,883,0.041
1266,EPIFANIA,878,0.041
1267,DANIA,877,0.041
1268,PEREGRINA,877,0.041
1269,AIDA MARIA,875,0.041
1270,COLOMA,874,0.041
1271,ZIORTZA,874,0.041
1272,ISABEL CARMEN,873,0.041
1273,ANA JULIA,869,0.040
1274,MARIA AURELIA,867,0.040
1275,PAULE,867,0.040
1276,HABIBA,862,0.040
1277,MANAR,860,0.040
1278,CARMEN LUISA,859,0.040
1279,HARIDIAN,859,0.040
1280,IARA,858,0.040
1281,JUANITA,858,0.040
1282,CORINA,857,0.040
1283,JUANA TERESA,857,0.040
1284,KAOUTAR,857,0.040
1285,LLANOS,856,0.040
1286,ANA MARGARITA,855,0.040
1287,BONIFACIA,855,0.040
1288,MARIA BENITA,855,0.040
1289,YAMILA,854,0.040
1290,SILVINA,851,0.040
1291,STELLA,849,0.040
1292,DOSINDA,848,0.039
1293,MARIA REGLA,848,0.039
1294,VANESSA MARIA,848,0.039
1295,JEZABEL,847,0.039
1296.MARIÑA,847,0,039
1297,MARIA DELFINA,845,0.039
1298,LILIA,844,0.039
1299,MARIA ISOLINA,843,0.039
1300,LEONARDA,841,0.039
1301,ANTOLINA,840,0.039
1302,CAROLA,840,0.039
1303,MARIA ANTONIETA,840,0.039
1304,RAHMA,840,0.039
1305,ANA ELENA,839,0.039
1306,CATHERINE,839,0.039
1307,MARIA LIDON,839,0.039
1308,EMILIA MARIA,838,0.039
1309,TASNIM,838,0.039
1310,MILAGRO,837,0.039
1311,ZINEB,837,0.039
1312,CONCEPCION MARIA,836,0.039
1313,ALIA,835,0.039
1314.MARIA PEÑA,835,0,039
1315,JOSEFA ANTONIA,834,0.039
1316,LUDIVINA,834,0.039
1317,GISELLE,832,0.039
1318,MARIA RAFAELA,831,0.039
1319,MARTHA LUCIA,830,0.039
1320,NEMESIA,830,0.039
1321,SHEILA MARIA,830,0.039
1322,UMA,830,0.039
1323,CARMEN LUCIA,828,0.039
1324,EMMA MARIA,824,0.038
1325,LEONIDES,823,0.038
1326,YAIZA MARIA,823,0.038
1327,ELENA ISABEL,822,0.038
1328,XIMENA,822,0.038
1329,ASMAE,820,0.038
1330,CONCHA,819,0.038
1331,FRANCINA,818,0.038
1332,MARIA ASSUMPTA,817,0.038
1333,ELIDA,813,0.038
1334,ILHAM,813,0.038
1335,EVARISTA,812,0.038
1336,SAFAE,812,0.038
1337,MERCEDES MARIA,810,0.038
1338,DACIL,805,0.037
1339,KARMELE,805,0.037
1340,NIRA,804,0.037
1341,AGATHA,802,0.037
1342,NAHIARA,802,0.037
1343,MARIA ELIZABETH,798,0.037
1344,FULGENCIA,794,0.037
1345,LETICIA MARIA,793,0.037
1346,ZARA,790,0.037
1347,CLARISA,789,0.037
1348,JOSEFA CARMEN,789,0.037
1349,IZARBE,786,0.037
1350,PRAXEDES,785,0.037
1351,DULCE NOMBRE MARIA,784,0.036
1352,DALILA,782,0.036
1353,GABINA,780,0.036
1354,IRACHE,780,0.036
1355,YANET,780,0.036
1356,LAUDELINA,777,0.036
1357,PEPITA,775,0.036
1358,YANIRE,775,0.036
1359,LARRAITZ,774,0.036
1360,LEYLA,773,0.036
1361,LUR,773,0.036
1362,EIRE,772,0.036
1363,NATASHA,772,0.036
1364,ZENAIDA,772,0.036
1365,ISRAA,771,0.036
1366,SARAYMA,769,0.036
1367,NUR,765,0.036
1368,QUITERIA,764,0.036
1369,SETEFILLA,764,0.036
1370,ROSA PILAR,763,0.036
1371,PROVIDENCIA,760,0.035
1372,ATHENEA,758,0.035
1373,JUANA ISABEL,758,0.035
1374,IGONE,757,0.035
1375,ISIS,757,0.035
1376,LIVIA,757,0.035
1377,MELINA,756,0.035
1378,EDITA,753,0.035
1379,HIPOLITA,753,0.035
1380,ROCIO PILAR,752,0.035
1381,ARMINDA,751,0.035
1382,FATOUMATA,751,0.035
1383,MARIA GREGORIA,750,0.035
1384,YAMINA,750,0.035
1385,ALBA ROCIO,748,0.035
1386,NATACHA,748,0.035
1387,LUANA,747,0.035
1388,TANIT,747,0.035
1389,DULCE,746,0.035
1390,SUHAILA,745,0.035
1391,DARA,744,0.035
1392,ICIA,744,0.035
1393,CAROLINA MARIA,741,0.034
1394,IVONNE,740,0.034
1395,MARIA RESURRECCION,740,0.034
1396,ASSIA,738,0.034
1397,MARIA VALENTINA,738,0.034
1398,DANNA,736,0.034
1399,ELVA,736,0.034
1400,FANNY,735,0.034
1401,CAMELIA,734,0.034
1402,JAQUELINE,734,0.034
1403,SULAMITA,734,0.034
1404,YENIFER,734,0.034
1405,CARMEN ELENA,733,0.034
1406,FELICISIMA,733,0.034
1407,HIGINIA,731,0.034
1408,JOAQUIMA,728,0.034
1409,IONE,726,0.034
1410,MARIA FILOMENA,726,0.034
1411,MARIA ITZIAR,726,0.034
1412,ROSA ELVIRA,726,0.034
1413,AHINARA,725,0.034
1414,ALICE,725,0.034
1415,TERESITA,724,0.034
1416,FARIDA,721,0.034
1417,FRANCISCA ISABEL,721,0.034
1418,LUZ ADRIANA,721,0.034
1419,HANNA,720,0.034
1420,LAURENTINA,720,0.034
1421,TRANSITO,720,0.034
1422,ESCOLASTICA,719,0.033
1423,MARIA OFELIA,719,0.033
1424,ZOILA,718,0.033
1425,ARAN,717,0.033
1426,ANA FRANCISCA,716,0.033
1427,MARIA AVELINA,716,0.033
1428,SHEREZADE,716,0.033
1429,RUBI,714,0.033
1430,FIONA,713,0.033
1431,NIDIA,713,0.033
1432,ZAINAB,712,0.033
1433,ARAITZ,711,0.033
1434,CONSOL,710,0.033
1435,GAIA,710,0.033
1436,DIANA MARCELA,708,0.033
1437,SOFIA MARIA,708,0.033
1438,RENATA,707,0.033
1439,ZULEIMA,706,0.033
1440,ADELIA,703,0.033
1441,LEONOR MARIA,703,0.033
1442,MARIA ILUMINADA,703,0.033
1443,MARIA IDOYA,702,0.033
1444,BERTA MARIA,701,0.033
1445,HIND,700,0.033
1446,MEGAN,700,0.033
1447,OMAIMA,700,0.033
1448,PAQUITA,700,0.033
1449,ANA CECILIA,699,0.033
1450,ORIANA,699,0.033
1451,ROSA BLANCA,699,0.033
1452,ARIANNE,698,0.032
1453,EIRA,698,0.032
1454,OLGA LUCIA,698,0.032
1455,CHANTAL,696,0.032
1456,MARIA ELIA,696,0.032
1457,MAURA,696,0.032
1458,JUANA DOLORES,695,0.032
1459,LIDE,695,0.032
1460,MARIA FELIX,695,0.032
1461,MARIA SACRAMENTO,695,0.032
1462,NATHALIE,693,0.032
1463,ANA ROSARIO,692,0.032
1464,DIANA PATRICIA,692,0.032
1465,ANALIA,691,0.032
1466,KEILA,689,0.032
1467,SAFAA,689,0.032
1468,AHINOA,688,0.032
1469,JUANA ANA,688,0.032
1470,ALBA LUCIA,686,0.032
1471,MERYEM,685,0.032
1472,AHLAM,684,0.032
1473,HUMILDAD,684,0.032
1474,PEPA,683,0.032
1475,DOUNIA,682,0.032
1476,MARIA TISCAR,682,0.032
1477,ANA ALICIA,680,0.032
1478,ROSARIO CARMEN,679,0.032
1479,FLOR,678,0.032
1480,HANNAH,678,0.032
1481,MARIA EVANGELINA,678,0.032
1482,NAIALA,677,0.032
1483,HONORINA,675,0.031
1484,MARIEM,675,0.031
1485,SALIMA,675,0.031
1486,ERIN,674,0.031
1487,MARIA TERESA JESUS,674,0.031
1488,ILDEFONSA,672,0.031
1489,NOURA,672,0.031
1490,MARIA ENCINA,671,0.031
1491,MILA,670,0.031
1492,SANAE,670,0.031
1493,MARIA GADOR,669,0.031
1494,CARMEN ROSARIO,668,0.031
1495,LLUCIA,667,0.031
1496,OMAIRA,665,0.031
1497,ROSALBA,665,0.031
1498,HERMENEGILDA,662,0.031
1499,JANNA,661,0.031
1500,MYRIAN,661,0.031
1501,MARIA TAMARA,657,0.031
1502,AMY,656,0.031
1503,EREA,656,0.031
1504,MANUELA MARIA,655,0.030
1505,MARIA CANDIDA,654,0.030
1506,MIRARI,654,0.030
1507,IRANZU,652,0.030
1508,PALOMA MARIA,652,0.030
1509,ILENIA,650,0.030
1510,ADHARA,648,0.030
1511,ASMAA,648,0.030
1512,KIMBERLY,647,0.030
1513,IRAIDA,646,0.030
1514,JASMINA,645,0.030
1515,MIREN ITXASO,644,0.030
1516,AZIZA,643,0.030
1517,MATILDA,643,0.030
1518,MAGDA,642,0.030
1519,MARIA CONCEPCIO,642,0.030
1520,MARIA OTILIA,641,0.030
1521,URBANA,641,0.030
1522,HELGA,640,0.030
1523,MARIA CORTES,639,0.030
1524,MARIA GERTRUDIS,639,0.030
1525,ROSINA,636,0.030
1526,ALTAGRACIA,635,0.030
1527,BARBARA MARIA,635,0.030
1528,MARIA GENOVEVA,635,0.030
1529,ANA LUZ,634,0.030
1530,GUILLERMA,633,0.029
1531,LEONCIA,631,0.029
1532,VANIA,631,0.029
1533,DAIRA,630,0.029
1534,ELVIRA MARIA,629,0.029
1535,CLEMENTA,628,0.029
1536,SOUKAINA,628,0.029
1537,AGUEDA MARIA,626,0.029
1538,SEFORA,626,0.029
1539,AGAPITA,625,0.029
1540,LLARA,625,0.029
1541,MARIA GRACIELA,625,0.029
1542,SELMA,624,0.029
1543,ALTEA,623,0.029
1544,MAIKA,622,0.029
1545,MARIA MONTE,622,0.029
1546,ARWA,621,0.029
1547,MARIA FABIOLA,621,0.029
1548,XANA,621,0.029
1549,ELIXABETE,620,0.029
1550,LUZ ELENA,620,0.029
1551,SEVERIANA,620,0.029
1552,FRANCISCA ROSA,619,0.029
1553,MARIA OBDULIA,619,0.029
1554,ANA GABRIELA,618,0.029
1555,GLORIA ISABEL,618,0.029
1556,OUMAIMA,618,0.029
1557,JOSEFA DOLORES,617,0.029
1558,MARIA BELLA,617,0.029
1559,CONCHITA,616,0.029
1560,ZAYRA,616,0.029
1561,HELEN,615,0.029
1562,ANA MARTA,614,0.029
1563,ISRAE,613,0.029
1564,HIDAYA,612,0.028
1565,GLORIA PATRICIA,611,0.028
1566,MARIA DIVINA,611,0.028
1567,TERESA CARMEN,609,0.028
1568,IZADI,608,0.028
1569,SHAKIRA,608,0.028
1570,ALISON,607,0.028
1571,CARMEN VICTORIA,607,0.028
1572,MONICA PATRICIA,604,0.028
1573,IBTISSAM,602,0.028
1574,JENNY,602,0.028
1575,NISRIN,600,0.028
1576,YULIA,600,0.028
1577,MARIA ROSALIA,597,0.028
1578,MARIA REBECA,596,0.028
1579,ROMA,596,0.028
1580,ANA BELLA,595,0.028
1581,CARLOTA MARIA,595,0.028
1582,ELODIA,595,0.028
1583,MARIA CRUCES,595,0.028
1584,LUZ STELLA,594,0.028
1585,MAYRA ALEJANDRA,593,0.028
1586,NOHA,591,0.028
1587,BEATRIZ ELENA,590,0.027
1588,MARIA JOSEP,589,0.027
1589,GENARA,588,0.027
1590,LUZ DARY,587,0.027
1591,ANA RAQUEL,586,0.027
1592,MARIA HUERTAS,585,0.027
1593,MARIA MICAELA,583,0.027
1594,MIGUELINA,583,0.027
1595,ASMA,582,0.027
1596,MARIA DIGNA,582,0.027
1597,REBECCA,581,0.027
1598,MELCHORA,579,0.027
1599,FINA,577,0.027
1600,LEAH,576,0.027
1601,WENDY,576,0.027
1602,ANSELMA,575,0.027
1603,MIREN AGURTZANE,575,0.027
1604,NIKOLE,575,0.027
1605,ALESSIA,573,0.027
1606,CIARA,572,0.027
1607,CAROL,571,0.027
1608,LAURA CARMEN,571,0.027
