Nº,Nombre,Total.Por mil ‰
189,MARIA ENCARNACION,18.527,0.863
190,JOAQUINA,18.510,0.862
191,CECILIA,18.336,0.854
192,JENNIFER,18.317,0.853
193,MARIA MAGDALENA,18.227,0.849
194,ELSA,18.218,0.848
195,ESTRELLA,18.201,0.847
196,ALMA,18.177,0.846
197,RAMONA,18.100,0.843
198,VEGA,17.790,0.828
199,SORAYA,17.561,0.818
200,MARIA MONTSERRAT,17.532,0.816
201,RUTH,17.331,0.807
202,MARIA FRANCISCA,17.323,0.806
203,GABRIELA,17.278,0.804
204,MARIA YOLANDA,17.233,0.802
205,ROSALIA,17.201,0.801
206,NAIARA,16.978,0.790
207,MAR,16.977,0.790
208,AINA,16.866,0.785
209,LEYRE,16.593,0.772
210,ALEXANDRA,16.323,0.760
211,AGUSTINA,16.173,0.753
212,MARIA GLORIA,16.094,0.749
213,JULIANA,16.017,0.746
214,ABRIL,15.984,0.744
215,MARIA MILAGROS,15.905,0.740
216,MARIA CONSUELO,15.759,0.734
217,ADORACION,15.737,0.733
218,ERIKA,15.709,0.731
219,AFRICA,15.706,0.731
220,PAOLA,15.636,0.728
221,PETRA,15.615,0.727
222,VERA,15.454,0.719
223,MACARENA,15.356,0.715
224,AIDA,14.766,0.687
225,AMAIA,14.752,0.687
226,ESTELA,14.594,0.679
227,YAIZA,14.497,0.675
228,IRIA,14.193,0.661
229,MARIA REYES,13.826,0.644
230,MARIA REMEDIOS,13.763,0.641
231,SARAY,13.727,0.639
232,IRIS,13.270,0.618
233,ELISABETH,13.247,0.617
234,MARIA ARANZAZU,13.206,0.615
235,NADIA,13.204,0.615
236,ITZIAR,12.762,0.594
237,AMANDA,12.658,0.589
238,EULALIA,12.601,0.587
239,ANE,12.600,0.587
240,ARANZAZU,12.538,0.584
241,MARIANA,12.534,0.584
242,MARIA TRINIDAD,12.472,0.581
243,JOANA,12.384,0.577
244,CHLOE,12.262,0.571
245,MARIA ESPERANZA,12.178,0.567
246,TRIANA,12.104,0.564
247,EUGENIA,11.951,0.556
248,MAITE,11.947,0.556
249,MIA,11.930,0.555
250,HERMINIA,11.714,0.545
251,ENRIQUETA,11.167,0.520
252,MIRIAN,10.942,0.509
253,PIEDAD,10.812,0.503
254,ANA ROSA,10.694,0.498
255,MERITXELL,10.692,0.498
256,DESIREE,10.659,0.496
257,NEUS,10.543,0.491
258,LUNA,10.493,0.489
259,ELIA,10.419,0.485
